# bjd	phase	raw_flux	raw_err	corr_flux	corr_err	dtr_flux	dtr_err
54953.53894127	0.02396593	1.003110	0.000043	1.022322	0.000043	1.001014	0.000043
54953.55937588	0.03120743	1.003270	0.000043	1.022487	0.000043	1.001191	0.000043
54953.57981038	0.03844889	1.003347	0.000043	1.022577	0.000043	1.001285	0.000043
54953.60024509	0.04569043	1.003359	0.000043	1.022554	0.000043	1.001314	0.000043
54953.62067969	0.05293192	1.003136	0.000043	1.022352	0.000043	1.001109	0.000043
54953.64111420	0.06017339	1.003113	0.000043	1.022307	0.000043	1.001102	0.000043
54953.66154880	0.06741489	1.003004	0.000043	1.022215	0.000043	1.001010	0.000043
54953.68198351	0.07465642	1.002711	0.000043	1.021915	0.000043	1.000734	0.000043
54953.70241801	0.08189789	1.002564	0.000043	1.021774	0.000043	1.000604	0.000043
54953.72285262	0.08913939	1.002287	0.000043	1.021480	0.000043	1.000344	0.000043
54953.74328733	0.09638093	1.001980	0.000043	1.021188	0.000043	1.000053	0.000043
54953.76372183	0.10362239	1.001799	0.000043	1.020983	0.000043	0.999888	0.000043
54953.78415644	0.11086389	1.001434	0.000043	1.020639	0.000043	0.999540	0.000043
54953.80459104	0.11810539	1.001126	0.000043	1.020305	0.000043	0.999248	0.000043
54953.82502565	0.12534689	1.000841	0.000043	1.020020	0.000043	0.998979	0.000043
54953.84546025	0.13258839	1.000646	0.000043	1.019838	0.000043	0.998800	0.000043
54953.86589486	0.13982989	1.000407	0.000043	1.019567	0.000043	0.998576	0.000043
54953.88632956	0.14707142	1.000117	0.000043	1.019292	0.000043	0.998302	0.000043
54953.90676407	0.15431289	0.999919	0.000043	1.019075	0.000043	0.998119	0.000043
54953.92719868	0.16155439	0.999708	0.000043	1.018856	0.000043	0.997923	0.000043
54953.94763338	0.16879592	0.999562	0.000043	1.018721	0.000043	0.997792	0.000043
54953.96806789	0.17603739	0.999495	0.000043	1.018646	0.000043	0.997740	0.000043
54953.98850249	0.18327889	0.999367	0.000043	1.018517	0.000043	0.997626	0.000043
54954.00893700	0.19052035	0.999244	0.000043	1.018404	0.000043	0.997518	0.000043
54954.02937170	0.19776189	0.999107	0.000043	1.018226	0.000043	0.997395	0.000043
54954.04980631	0.20500339	0.999038	0.000043	1.018187	0.000043	0.997340	0.000043
54954.07024091	0.21224488	0.999155	0.000043	1.018298	0.000043	0.997471	0.000043
54954.09067552	0.21948639	0.999048	0.000043	1.018193	0.000043	0.997377	0.000043
54954.11111012	0.22672788	0.999065	0.000043	1.018208	0.000043	0.997408	0.000043
54954.13154473	0.23396939	0.999123	0.000043	1.018265	0.000043	0.997479	0.000043
54954.15197923	0.24121085	0.999168	0.000043	1.018312	0.000043	0.997538	0.000043
54954.17241394	0.24845239	0.999175	0.000043	1.018347	0.000043	0.997558	0.000043
54954.19284855	0.25569389	0.999208	0.000043	1.018358	0.000043	0.997604	0.000043
54954.21328305	0.26293535	0.999085	0.000043	1.018269	0.000044	0.997494	0.000043
54954.23371776	0.27017689	0.999189	0.000043	1.018367	0.000044	0.997610	0.000043
54954.25415236	0.27741838	0.999176	0.000043	1.018362	0.000044	0.997610	0.000043
54954.27458687	0.28465985	0.999306	0.000043	1.018495	0.000044	0.997753	0.000043
54954.29502147	0.29190135	0.999304	0.000043	1.018494	0.000044	0.997763	0.000043
54954.31545618	0.29914288	0.999384	0.000043	1.018558	0.000044	0.997855	0.000043
54954.33589078	0.30638438	0.999443	0.000043	1.018649	0.000044	0.997926	0.000043
54954.35632529	0.31362585	0.999504	0.000043	1.018682	0.000044	0.997999	0.000043
54954.37675999	0.32086738	0.999571	0.000043	1.018765	0.000044	0.998078	0.000043
54954.39719460	0.32810888	0.999651	0.000043	1.018846	0.000044	0.998170	0.000043
54954.41762910	0.33535035	0.999662	0.000043	1.018857	0.000044	0.998193	0.000043
54954.43806371	0.34259185	0.999960	0.000043	1.019173	0.000044	0.998502	0.000043
54954.45849841	0.34983338	0.999936	0.000043	1.019153	0.000044	0.998489	0.000043
54954.47893292	0.35707485	1.000051	0.000043	1.019263	0.000044	0.998615	0.000043
54954.49936752	0.36431634	1.000106	0.000043	1.019340	0.000044	0.998682	0.000043
54954.51980213	0.37155785	1.000125	0.000043	1.019339	0.000044	0.998712	0.000043
54954.54023684	0.37879938	1.000275	0.000043	1.019507	0.000044	0.998873	0.000043
54954.56067144	0.38604088	1.000241	0.000043	1.019481	0.000044	0.998849	0.000043
54954.58110595	0.39328235	1.000281	0.000043	1.019516	0.000044	0.998900	0.000043
54954.60154065	0.40052388	1.000309	0.000043	1.019553	0.000044	0.998939	0.000043
54954.62197526	0.40776538	1.000355	0.000043	1.019599	0.000044	0.998995	0.000043
54954.64240976	0.41500684	1.000431	0.000043	1.019680	0.000044	0.999082	0.000043
54954.66284437	0.42224835	1.000489	0.000043	1.019761	0.000043	0.999150	0.000043
54954.68327907	0.42948988	1.000435	0.000043	1.019690	0.000044	0.999106	0.000043
54954.70371358	0.43673134	1.000487	0.000043	1.019735	0.000043	0.999168	0.000043
54954.72414818	0.44397284	1.000629	0.000043	1.019903	0.000043	0.999320	0.000043
54954.74458289	0.45121438	1.000570	0.000043	1.019830	0.000043	0.999271	0.000043
54954.76501739	0.45845584	1.000579	0.000043	1.019868	0.000043	0.999290	0.000043
54954.78545200	0.46569734	1.000694	0.000043	1.019967	0.000043	0.999414	0.000043
54954.80588660	0.47293884	1.000749	0.000043	1.020027	0.000043	0.999479	0.000043
54954.82632121	0.48018034	1.000807	0.000043	1.020091	0.000043	0.999546	0.000043
54954.84675581	0.48742184	1.000889	0.000043	1.020148	0.000044	0.999638	0.000043
54954.86719042	0.49466334	1.000893	0.000043	1.020151	0.000044	0.999651	0.000043
54954.88762502	-0.49809516	1.000928	0.000043	1.020201	0.000044	0.999695	0.000043
54954.90805963	-0.49085366	1.000972	0.000043	1.020227	0.000044	0.999748	0.000043
54954.92849423	-0.48361216	1.001090	0.000043	1.020365	0.000044	0.999875	0.000043
54954.94892874	-0.47637069	1.001183	0.000043	1.020447	0.000044	0.999977	0.000043
54954.96936344	-0.46912916	1.001119	0.000043	1.020393	0.000044	0.999921	0.000043
54954.98979805	-0.46188766	1.001145	0.000043	1.020410	0.000044	0.999956	0.000043
